X1,Y1,X2,Y2
485.83736842105264,254.7519719626168,795.9566666666667,70.291
495.5285964912281,239.38022429906542,805.6478947368421,70.291
505.2198245614035,224.008476635514,805.6478947368421,70.291
510.0654385964912,218.88456074766353,820.1847368421054,70.291
519.7566666666667,203.51281308411214,825.0303508771931,75.56272115384616
524.6022807017544,198.3888971962617,825.0303508771931,80.8344423076923
534.2935087719299,188.14106542056075,834.7215789473685,80.8344423076923
534.2935087719299,183.01714953271028,834.7215789473685,86.10616346153846
543.9847368421052,167.6454018691589,844.4128070175439,86.10616346153846
548.830350877193,162.5214859813084,844.4128070175439,91.37788461538462
553.6759649122807,157.39757009345794,849.2584210526317,96.64960576923076
558.5215789473684,152.27365420560747,854.1040350877194,96.64960576923076
563.3671929824561,136.90190654205605,858.9496491228072,96.64960576923076
573.0584210526316,126.65407476635514,863.7952631578949,101.92132692307692
573.0584210526316,121.53015887850466,868.6408771929825,101.92132692307692
587.5952631578948,111.28232710280373,873.4864912280702,101.92132692307692
878.3321052631579,106.15841121495328,602.1321052631579,107.19304807692308
883.1777192982456,106.15841121495328,621.5145614035088,91.37788461538462
888.0233333333334,106.15841121495328,631.2057894736843,80.8344423076923
888.0233333333334,106.15841121495328,645.7426315789473,70.291
892.8689473684211,111.28232710280373,645.7426315789473,70.291
892.8689473684211,111.28232710280373,640.8970175438596,70.291
897.7145614035088,106.15841121495328,689.3531578947368,70.291
912.251403508772,101.0344953271028,689.3531578947368,70.291
921.9426315789474,111.28232710280373,689.3531578947368,70.291
926.7882456140352,121.53015887850466,694.1987719298246,75.56272115384616
926.7882456140352,126.65407476635514,703.8900000000001,80.8344423076923
926.7882456140352,131.7779906542056,713.5812280701755,91.37788461538462
926.7882456140352,142.02582242990655,723.2724561403509,96.64960576923076
926.7882456140352,147.149738317757,728.1180701754387,107.19304807692308
926.7882456140352,152.27365420560747,737.8092982456141,112.46476923076924
926.7882456140352,162.5214859813084,742.6549122807019,123.00821153846154
926.7882456140352,167.6454018691589,747.5005263157896,128.27993269230768
931.6338596491229,167.6454018691589,752.3461403508772,144.09509615384616
936.4794736842106,183.01714953271028,762.0373684210526,149.36681730769232
931.6338596491229,193.26498130841122,776.5742105263158,144.09509615384616
917.0970175438597,203.51281308411214,776.5742105263158,144.09509615384616
907.4057894736843,213.76064485981308,786.2654385964913,144.09509615384616
897.7145614035088,224.008476635514,795.9566666666667,144.09509615384616
888.0233333333334,234.25630841121495,800.8022807017544,144.09509615384616
883.1777192982456,244.5041401869159,820.1847368421054,144.09509615384616
