X1,Y1,X2,Y2
571.89,98.088,461.96,208.14
580.64,98.754,459.74,199.43
588.15,99.285,459.49,188.91
595.53,99.495,463.82,179.16
603.07,99.794,469.93,171.14
609.95,100.07,476.68,163.77
616.34,100.15,484.03,156.04
623.17,100.15,490.64,149.09
629.77,100.16,496.51,142.64
635.55,100.17,501.9,136.52
641.64,100.21,506.88,130.88
647.95,100.19,510.52,125.66
653.82,100.13,513.76,117.98
661.37,99.83,516.29,110.61
668.86,103.81,518.97,103.25
676.5,113.52,521.57,97.174
684.48,123.6,524.22,91.642
691.76,132.13,525.75,88.191
699.01,140.02,524.29,86.746
705.22,147.26,525.52,82.727
711.02,154.67,532.93,79.608
716.06,161.34,541.15,78.512
721.6,168.19,550.39,79.401
727.4,174.7,558.53,80.864
733.01,182.25,564.61,81.813
735.41,192.69,570.09,82.569
737.51,206.68,575.12,83.31
741.14,221.93,579.99,83.933
743.8,236.33,584.78,84.601
745.61,249.44,588.84,85.064
746.94,261.99,594.1,85.97
748.07,274,601.01,89.708
749,285.55,606.27,94.271
750,296.75,612.73,98.844
750.79,307.33,621.07,104.21
751.69,317.36,628.94,109.21
752.73,327.54,637.65,114.77
753.77,337.11,644.99,119.63
754.74,346.2,651.47,124.36
755.76,354.59,659.1,129.56
756.8,362.75,669.64,133.22
757.79,370.63,681.18,138.54
758.79,378.11,692.36,149.26
759.65,385.12,700.6,161.85
760.48,392.03,709.28,175.16
761.4,399.24,718.22,187.58
762.1,405.29,726.2,198.23
762.84,410.94,733.55,208.48
763.56,416.63,739.96,217.82
764.69,421.98,746.02,227.09
763.92,433.05,751.84,236.17
751.04,436.17,757.25,244.71
739.03,435.92,762.42,252.97
723.48,436.51,767.18,260.8
710.31,436.89,771.93,268.63
697.81,436.92,776.32,276.14
687.02,436.56,780.25,283.18
675.6,436.27,783.85,289.89
665.31,436.21,787.4,296.32
655.97,436.34,790.79,302.78
646.63,436.63,793.9,308.78
635.88,437.64,796.72,314.25
624.82,428.17,799.66,320.02
617.29,412.86,802.35,325.31
604.02,393.15,805.41,330.37
592.23,375.39,806.58,338.57
584.2,360.9,802.72,346.37
575.98,346.21,797.13,352.84
567.69,332.08,790.78,359.05
559.66,317.87,784.74,364.35
553.13,305.6,778.97,369.74
544.88,292.29,773.74,374.68
537.6,282.03,769.24,379.3
530.16,272.41,764.82,383.77
523.11,263.87,760.65,387.95
516.51,255.23,756.04,392.63
504.95,249.14,751.74,396.97
494.52,250.07,747.78,400.81
475.65,252.42,744.21,404.24
459.4,253.42,740.19,407.83
449.06,254.02,736.3,411.51
448.21,254.25,733.48,414.51
450.8,254.63,727.77,419.18
451.74,254.99,721.11,419.22
451.52,255.01,714.89,416.53
450.1,254.81,704.4,411.73
448.06,254.5,694.41,407.22
448,254.68,684.17,402.97
447.46,254.85,675.66,399.42
444.96,255.84,667.36,396.05
440.76,251.12,659.89,392.69
438.14,242.45,652.06,389.19
434.97,232,644.86,386.01
429.93,211.99,638.07,383.1
431.26,187.25,631.34,380.13
432.73,169.28,624.66,377.26
433.71,150.64,617.86,374.44
434.59,132.66,611.65,371.94
437.35,113.76,606.51,369.82
444.53,99.927,600.3,367.35
450.81,87.975,594.54,365.05
455.36,85.896,589.39,362.98
459.21,86.432,585.07,361.11
464.38,83.125,579.2,359.08
471.48,81.548,575.25,354
476.68,80.195,572.41,344.3
487.41,76.845,569,332.72
496.33,76.577,563.91,319.32
504.26,76.247,559.12,308.3
515.69,74.474,554.76,298.63
523.39,73.964,550.56,289.32
530.85,73.992,546.97,279.83
540.3,73.764,544.33,270.85
558.15,78.372,541.41,261.1
564.36,84.811,534.08,251.61
568.3,90.335,522.14,248.36
571.64,95.046,503.99,243.96
574.93,99.529,489.62,237.57
578.31,104.05,477.83,230.1
581.9,108.72,466.74,221.64
585.14,113.1,458.08,214.36
588.34,117.18,450.99,207.81
591.97,121.53,445.09,201.83
595.65,125.79,439.65,197.52
598.06,128.79,435.49,180.61
601.59,132.65,440.57,171.66
604.71,135.89,446.08,170.69
607.59,138.95,452.89,168.89
610.25,141.71,460.33,166.67
613.83,145.07,467.68,164.33
616.6,147.67,474.71,162.28
619.26,150.15,481.86,160.19
620.31,151.02,487.43,158.45
625.02,155.09,493.51,156.56
624.57,165.34,499.87,154.49
616.86,175.83,505.61,152.74
607.53,187.08,510.51,150.98
599.97,196.4,515.92,149.14
593.29,204.82,521.12,147.3
586.77,213.17,525.65,145.45
581.72,219.72,530.09,143.57
575.72,227.15,533.71,142.09
570.48,233.75,538.69,140.47
566.44,238.78,542.61,139.26
560.27,245.91,545.23,138.26
555.11,251.71,548.75,137.48
550.4,256.87,553.37,141.42
545.31,262.28,555.62,147.08
540.41,267.36,557.12,154.74
536.36,271.42,558.13,162.81
532.13,275.56,558.75,169.99
528.09,279.44,559.56,176.38
524.08,283.42,560.65,182.27
521.27,287.02,561.66,187.64
507.72,288.85,562.96,192.43
493.7,281.51,564.54,197.33
475.16,272.87,566.27,202.39
459.34,266.23,567.96,207.61
448.94,261.73,569.16,212.25
445.11,259.01,570.19,216.93
440.21,255.54,571.18,222.09
435.89,245.27,571.97,227.03
435.07,234.06,572.48,231.59
434.45,223.61,573.06,235.98
433.44,213.67,573.35,239.93
432.18,203.16,573.94,243.95
431.61,196.79,574.34,247.51
431.13,191.54,575.02,251.6
430.24,183.85,575.57,255.22
429.98,162.77,576.05,258.66
435.22,152.76,576.56,261.82
440.01,143.34,577.12,264.87
444.94,131.16,577.69,266.72
450.08,119.43,579.06,271.24
454.94,109.66,577.12,278.12
459.83,100.55,572.7,281.92
464.4,93.398,566.79,283.97
469.65,86.951,559.74,284.86
473.4,84.66,553.4,285.27
469.34,79.609,546.31,285.64
465.36,77.895,540.5,285.77
453.3,73.614,535.92,285.77
446.23,73.869,530.35,285.88
447.73,75.244,527.01,285.86
449.11,76.05,522.21,285.95
450.14,76.481,517.73,286.1
451.82,75.446,513.89,286.27
440.97,75.898,507.68,287.24
437.96,81.836,502,286.29
437.9,86.827,497.88,281.32
437.36,91.895,496.37,276.03
437.02,95.646,495.24,268.44
436.27,98.975,494.92,261.76
432.72,106.36,494.51,254.84
431.32,117.55,494.14,247.93
432.28,130.59,493.55,242.07
432.69,141.31,492.77,236.8
433.18,153.69,492.28,232.46
433.25,162.64,491.73,228.21
433.24,169.76,490.84,223.06
432.95,178.73,490.64,218.29
432.49,185.74,488.75,213.49
431.88,192.63,482.75,208.78
431.35,198.93,473.91,203.65
431.08,202.26,465.84,198.05
430.35,209.37,459.58,193.75
429.61,216.48,453.32,189.46
429.03,226.18,449.15,186.12
432.89,238.34,447.64,184.89
437.74,240.79,447.4,184.38
443.01,246.64,443.99,183.59
447.98,251.43,440.09,181.11
452.57,253.65,438.38,174.08
457.56,251.17,440.17,163.93
462.99,246.23,443.47,158.91
466.89,241.49,446.8,155.27
470.83,236.03,449.63,152.32
474.61,230.26,452.19,149.46
478.04,225.19,454.73,146.52
481.34,220.34,457.31,143.56
484.11,216.23,459.85,140.55
486.82,212.09,462.54,137.32
489.28,208.07,464.27,134.88
491.58,204.07,466.95,131.48
493.41,200.73,469.35,128.22
495.66,196.8,471.36,125.55
497.34,193.53,473.61,122.43
499.33,190.21,475.6,119.71
501.36,186.71,477.12,117.62
503.35,183.31,479.66,114.17
505.43,179.81,482.53,110.9
506.54,177.58,485.99,108.61
508.01,173.27,490.98,105.46
511.97,164.57,495.2,102.11
516.39,158.04,499.94,98.212
520.9,152.05,503.57,94.885
524.63,146.84,506.36,92.414
529.23,140.21,509.68,89.471
537.3,134.48,512.09,87.025
547.31,125.45,512.06,84.668
556.04,113.28,520.79,79.694
563.62,102.53,538.98,82.869
568.75,97.888,542.17,87.176
573.88,93.242,545.36,91.483
579,88.596,548.55,95.79
582.2,85.132,549.21,98.311
589.16,80.653,547,102.08
600.19,78.578,542.94,107.66
610.27,77.668,538.54,113.64
618.91,77.246,533.75,120.43
628.51,75.818,529.7,126.97
645.86,74.722,525.87,133.77
664.94,79.8,523.08,139.4
673.97,83.468,520.01,145.48
683.27,86.82,517.36,151.03
693.17,90.069,514.96,155.68
