X1,Y1,W1,H1,X2,Y2,W2,H2
60,130,10,70,200,60,80,15
60,140,10,80,185,55,75,20
60,165,10,85,175,55,75,25
65,155,5,75,160,50,70,20
65,165,5,85,150,50,70,25
65,170,5,85,140,55,65,35
65,180,5,65,130,65,55,50
65,185,5,65,125,70,60,55
65,195,5,75,125,70,65,60
65,200,5,75,120,75,65,70
65,205,5,70,110,85,60,60
65,210,5,75,110,85,70,65
65,215,5,75,95,100,60,50
65,225,5,80,90,105,65,50
65,230,5,75,85,105,70,50
60,250,15,65,80,105,80,35
55,240,35,40,75,110,75,30
55,255,50,40,60,115,60,25
55,115,55,25,65,265,50,35
55,115,55,25,75,270,45,40
50,115,45,20,85,275,50,40
50,110,35,20,90,285,55,40
50,110,20,60,100,290,60,50
50,140,5,75,105,295,55,40
50,140,5,35,115,300,55,40
50,145,5,35,120,305,55,45
50,145,5,40,125,315,55,35
50,145,5,45,135,325,60,10
50,150,5,45,150,330,65,10
50,155,5,55,165,330,65,15
50,160,10,60,180,335,65,10
50,165,10,65,190,340,65,5
50,165,15,55,205,340,55,10
50,180,25,75,215,345,65,10
50,185,30,35,225,345,65,5
50,190,35,45,240,345,70,5
55,200,40,55,250,345,70,5
60,210,45,65,260,345,70,10
65,215,45,65,270,345,65,10
70,225,45,70,280,345,75,10
75,230,50,70,290,350,55,5
85,235,45,60,295,350,60,5
90,245,30,65,305,350,60,10
90,260,35,75,310,350,65,10
95,275,55,50,320,350,65,10
110,285,65,35,325,355,55,5
120,290,65,40,335,355,60,10
135,300,65,50,340,355,65,10
145,310,70,55,345,355,65,10
155,315,65,50,350,355,65,10
165,320,70,55,360,360,55,5
170,330,65,50,360,360,50,5
180,335,65,45,380,370,30,20
190,340,70,45,395,375,10,45
200,345,70,45,400,325,5,65
205,350,65,45,400,310,5,65
215,355,70,45,400,295,5,65
220,360,65,45,400,295,5,75
230,360,70,45,400,285,5,75
235,365,65,40,400,265,5,70
240,370,70,45,400,260,5,75
250,375,70,45,400,250,5,75
255,375,70,40,400,230,10,65
260,380,65,40,400,225,15,60
265,380,75,40,375,210,40,30
270,385,70,40,365,205,50,30
270,390,60,30,345,195,50,35
280,400,70,30,335,185,55,35
290,410,65,35,310,175,50,25
300,160,50,30,300,410,55,40
290,160,55,40,305,405,55,50
270,145,50,30,315,395,60,60
265,140,55,35,320,385,55,55
255,135,60,40,320,385,60,60
240,130,55,40,325,380,65,65
230,120,50,45,330,375,55,50
220,115,45,45,335,370,55,50
215,105,45,45,340,365,60,55
210,95,15,50,345,360,65,60
210,100,15,65,350,355,65,60
215,80,15,85,355,350,60,60
215,65,10,95,355,350,60,60
220,45,10,80,360,345,60,55
220,45,5,80,365,340,55,55
220,45,5,80,370,345,35,55
220,40,10,75,375,300,20,55
220,40,10,75,375,300,25,65
220,40,10,75,375,300,30,75
215,35,10,70,375,295,30,80
215,30,10,65,365,280,25,75
220,35,10,70,360,275,25,80
210,30,20,65,355,260,25,75
190,30,45,40,360,265,30,85
190,30,60,30,355,255,30,85
175,25,55,25,355,250,35,85
165,25,65,15,345,240,30,75
135,30,50,15,345,235,35,80
125,30,60,15,340,225,35,75
100,30,55,20,340,215,30,75
95,30,65,5,335,215,35,80
65,40,40,10,330,205,30,75
50,45,50,25,330,205,30,80
50,45,40,25,330,190,30,75
50,50,35,25,330,190,30,80
50,55,35,25,325,180,30,75
50,55,35,30,320,175,30,65
50,60,20,30,305,170,50,45
50,60,20,20,300,170,65,30
50,60,5,15,300,165,75,30
50,60,0,20,285,160,75,30
50,75,0,15,270,160,70,35
50,85,5,10,260,145,65,35
50,85,0,0,255,145,70,40
220,135,50,20,240,145,70,30
215,130,50,20,240,145,75,35
50,160,5,10,225,130,70,25
50,155,15,20,210,110,35,45
50,155,20,25,210,105,25,65
50,155,25,30,210,105,25,80
50,155,35,35,200,85,30,70
50,160,40,40,195,80,45,70
55,160,45,40,185,65,50,60
60,165,50,45,180,55,55,60
65,165,50,50,170,50,55,70
70,170,50,55,160,40,55,60
75,170,55,55,150,35,55,55
80,175,50,55,140,35,60,40
85,180,55,60,135,30,55,40
85,180,50,55,130,40,45,50
90,185,50,60,130,40,35,60
95,185,45,60,125,65,30,70
95,190,50,60,125,60,25,65
100,190,45,60,125,60,25,70
100,200,45,60,120,75,25,75
105,195,40,55,120,75,30,80
100,195,45,45,120,80,30,80
100,220,50,25,120,80,35,85
115,90,30,80,120,230,55,35
115,95,30,85,135,220,55,45
115,95,30,80,140,215,55,45
115,100,30,85,155,205,50,45
110,110,35,85,160,200,45,45
110,110,35,90,165,195,55,50
105,120,30,85,175,190,50,50
105,120,30,90,180,185,55,50
105,120,30,85,185,180,55,50
100,130,25,75,190,175,50,50
95,125,30,60,200,165,50,50
90,135,45,50,205,165,50,50
95,140,60,40,210,160,50,50
100,145,70,35,215,155,50,50
105,150,80,30,220,150,45,50
115,150,85,25,225,145,45,50
120,150,80,20,230,140,50,55
125,150,80,20,235,135,50,55
130,150,75,25,230,140,40,45
135,150,80,25,245,85,20,45
140,150,80,25,240,85,30,60
145,155,80,30,235,60,25,65
150,155,80,30,230,55,25,90
155,155,75,25,220,30,25,70
160,160,80,25,220,30,35,65
165,160,85,25,200,30,40,50
170,160,80,20,200,30,60,25
175,160,85,25,185,30,60,20
180,30,65,5,180,160,80,20
165,25,60,10,185,165,85,20
145,25,50,5,185,165,80,20
140,25,55,5,190,165,80,20
135,25,55,5,195,165,85,20
130,25,60,5,200,165,85,20
130,25,65,5,205,165,85,20
105,35,50,25,205,165,80,25
95,40,55,30,210,165,80,25
85,45,55,20,210,165,75,20
70,50,55,25,215,170,70,25
70,50,65,30,215,180,60,35
55,60,55,30,235,185,50,50
50,65,45,30,240,185,30,60
50,65,35,20,245,160,25,70
50,70,30,15,250,150,20,80
50,70,10,15,250,145,15,80
50,70,10,20,250,145,15,85
50,80,0,0,250,145,15,90
245,190,10,55,250,100,10,50
250,95,10,50,250,125,10,80
250,90,10,50,250,120,10,80
50,70,0,15,250,115,10,80
50,70,5,15,250,115,10,85
50,30,5,55,250,105,15,75
50,30,15,20,245,95,35,60
50,35,25,25,230,95,50,45
50,35,30,25,225,90,60,25
50,40,35,30,230,90,75,25
50,40,45,30,225,85,75,15
50,40,50,30,225,85,80,15
60,25,60,20,215,85,75,10
75,25,60,15,210,85,75,10
85,30,60,15,205,85,75,10
95,30,70,15,195,85,75,10
105,30,75,15,190,85,75,15
110,30,55,15,190,80,80,15
120,30,60,20,180,80,70,65
110,35,50,5,175,75,80,75
115,35,50,40,165,70,65,85
120,35,50,40,165,65,75,85
125,35,50,55,165,65,75,95
130,35,50,55,165,55,75,85
150,55,55,80,160,30,70,65
150,45,60,75,165,25,75,60
145,45,60,75,165,25,80,60
140,35,60,65,175,20,90,55
145,35,70,70,185,25,90,55
